S.no,WWR,AR,ORIN,OVERHANG,SHGC,ENERGY,,,
1079,0.14,1,0,45,0.26,102,,,
1115,0.14,2,0,45,0.2,102,,,
9000,0.05,1,17,2,0.37,102,,,
9001,0.05,1,17,7,0.37,102,,,
9002,0.05,1,17,12,0.37,102,,,
9003,0.05,1,17,18,0.37,102,,,
9004,0.05,1,17,23,0.37,102,,,
9005,0.05,1,17,28,0.37,102,,,
9006,0.05,1,17,34,0.37,102,,,
9007,0.05,1,17,39,0.37,102,,,
9008,0.05,1,17,45,0.37,102,,,
9017,0.05,1,17,45,0.66,102,,,
9019,0.05,1,17,7,0.44,102,,,
9020,0.05,1,17,12,0.44,102,,,
9021,0.05,1,17,18,0.44,102,,,
9022,0.05,1,17,23,0.44,102,,,
9023,0.05,1,17,28,0.44,102,,,
9024,0.05,1,17,34,0.44,102,,,
9025,0.05,1,17,39,0.44,102,,,
9026,0.05,1,17,45,0.44,102,,,
9027,0.05,1,17,2,0.2,102,,,
9028,0.05,1,17,7,0.2,102,,,
9029,0.05,1,17,12,0.2,102,,,
9030,0.05,1,17,18,0.2,102,,,
9031,0.05,1,17,23,0.2,102,,,
9032,0.05,1,17,28,0.2,102,,,
9033,0.05,1,17,34,0.2,102,,,
9034,0.05,1,17,39,0.2,102,,,
9035,0.05,1,17,45,0.2,102,,,
9053,0.05,1,17,45,0.68,102,,,
9060,0.05,1,17,34,0.65,102,,,
9061,0.05,1,17,39,0.65,102,,,
9062,0.05,1,17,45,0.65,102,,,
9063,0.05,1,17,2,0.26,102,,,
9064,0.05,1,17,7,0.26,102,,,
9065,0.05,1,17,12,0.26,102,,,
9066,0.05,1,17,18,0.26,102,,,
9067,0.05,1,17,23,0.26,102,,,
9068,0.05,1,17,28,0.26,102,,,
9069,0.05,1,17,34,0.26,102,,,
9070,0.05,1,17,39,0.26,102,,,
9071,0.05,1,17,45,0.26,102,,,
9079,0.05,1,17,39,0.68,102,,,
9080,0.05,1,17,45,0.68,102,,,
9084,0.05,1,17,18,0.42,102,,,
9085,0.05,1,17,23,0.42,102,,,
9086,0.05,1,17,28,0.42,102,,,
9087,0.05,1,17,34,0.42,102,,,
9088,0.05,1,17,39,0.42,102,,,
